age,gender,year of study,monthly budget for personal expenses (₹),do you currently own a laptop or smartphone suitable for your studies?,how old is your current primary device (laptop/phone)?,which product are you most likely to purchase in the next 6 months?,how urgently do you need this product?,your main reason for purchasing the product:,preferred budget range for the product:,preferred brand / platform:,"how important are the following factors when buying?
list the factors:
product price
brand reputation
features/specifications
battery life
design & look
reviews & ratings
warranty/service availability",how often do you buy electronic products online?,which apps/websites do you trust for buying products?,hours of screentime per day:,do you compare products before buying?,are you planning to purchase a new product within the next 6 months?
25 or above,Male,Postgraduate,3000-5000,Yes,<1 year,Laptop,Ugrent,Skill development,>₹30000,HP / Dell / Lenovo,5,Sometimes,"Amazon, Flipkart, Croma, Manufacturer website (Apple/HP etc.)",>6,Always,Yes
19-20,Female,3rd year,<1000,Yes,2-3 years,Not planning to buy anything,No need,Academic use,₹1000-3000,HP / Dell / Lenovo,3,Sometimes,Flipkart,4-6,Sometimes,No
21-22,Female,3rd year,1000-3000,Yes,2-3 years,Laptop,Not urgent,Skill development,>₹30000,HP / Dell / Lenovo,5,Sometimes,"Amazon, Manufacturer website (Apple/HP etc.)",2-4,Always,Yes
19-20,Female,3rd year,1000-3000,Yes,<1 year,Smartphone,Not urgent,Personal entertainment,>₹30000,Samsung / Xiaomi / Realme,4,Rarely,"Amazon, Flipkart",>6,Sometimes,Yes
21-22,Male,3rd year,5000-8000,Yes,3-4 years,Laptop,No need,Personal entertainment,₹7000-15000,Apple,3,Rarely,Croma,4-6,Always,Yes
21-22,Female,3rd year,1000-3000,Yes,2-3 years,Headphones,Not urgent,Replacement of old product,₹1000-3000,HP / Dell / Lenovo,5,Sometimes,"Amazon, Manufacturer website (Apple/HP etc.)",4-6,Always,No
21-22,Female,3rd year,3000-5000,Yes,1-2 years,Smartphone,Not urgent,Personal entertainment,>₹30000,Apple,3,Rarely,"Amazon, Flipkart, Croma",4-6,Always,Yes
21-22,Male,3rd year,1000-3000,Yes,2-3 years,Laptop,Not urgent,Personal entertainment,₹1000-3000,Apple,5,Sometimes,"Amazon, Flipkart, Croma",4-6,Sometimes,Yes
21-22,Male,3rd year,3000-5000,Yes,1-2 years,Keyboard,Not urgent,Replacement of old product,₹1000-3000,No preference,5,Sometimes,Amazon,4-6,Sometimes,No
25 or above,Prefer not to say,Postgraduate,1000-3000,No,1-2 years,Smartphone,Ugrent,Gaming,₹3000-7000,Apple,2,Sometimes,Flipkart,2-4,Sometimes,No
19-20,Female,3rd year,3000-5000,Yes,2-3 years,Not planning to buy anything,No need,Replacement of old product,>₹30000,No preference,3,Rarely,"Amazon, Flipkart, Croma, Manufacturer website (Apple/HP etc.)",2-4,Rarely,No
21-22,Female,4th year,5000-8000,Yes,3-4 years,Laptop,Extremely urgent,Replacement of old product,>₹30000,Apple,3,Sometimes,Manufacturer website (Apple/HP etc.),4-6,Sometimes,Yes
25 or above,Female,Postgraduate,3000-5000,Yes,>4 years,Not planning to buy anything,No need,Academic use,>₹30000,HP / Dell / Lenovo,5,Sometimes,"Amazon, Flipkart",>6,Sometimes,No
21-22,Female,3rd year,<1000,Yes,2-3 years,Not planning to buy anything,Not urgent,Replacement of old product,₹7000-15000,HP / Dell / Lenovo,5,Rarely,"Amazon, Flipkart",2-4,Always,No
21-22,Male,3rd year,1000-3000,Yes,2-3 years,Not planning to buy anything,Not urgent,Replacement of old product,₹7000-15000,Apple,5,Rarely,"Amazon, Flipkart",2-4,Always,No
19-20,Female,3rd year,3000-5000,Yes,3-4 years,Not planning to buy anything,No need,Academic use,>₹30000,No preference,5,Sometimes,Manufacturer website (Apple/HP etc.),4-6,Always,No
25 or above,Female,Postgraduate,>8000,Yes,2-3 years,Smartphone,Not urgent,Replacement of old product,₹15000-30000,Apple,4,Sometimes,"Amazon, Flipkart, Croma",4-6,Always,Yes
23-24,Male,4th year,5000-8000,Yes,3-4 years,Laptop,Ugrent,Skill development,>₹30000,HP / Dell / Lenovo,5,Sometimes,Manufacturer website (Apple/HP etc.),4-6,Sometimes,Yes
23-24,Male,Postgraduate,>8000,Yes,<1 year,"Online Course (e.g., Coursera, Udemy)",Not urgent,Skill development,₹3000-7000,Udemy / Coursera / Skillshare (for online course),2,Never,Amazon,>6,Always,No
19-20,Female,2nd year,1000-3000,Yes,1-2 years,Smartphone,Ugrent,Academic use,₹15000-30000,Samsung / Xiaomi / Realme,4,Sometimes,Flipkart,2-4,Always,Yes
19-20,Female,3rd year,>8000,Yes,2-3 years,"Online Course (e.g., Coursera, Udemy)",Not urgent,Skill development,₹15000-30000,Udemy / Coursera / Skillshare (for online course),4,Rarely,Amazon,2-4,Sometimes,No
21-22,Male,2nd year,>8000,Yes,<1 year,Smartphone,Not urgent,Replacement of old product,>₹30000,Apple,5,Rarely,Manufacturer website (Apple/HP etc.),<2,Always,Yes
19-20,Female,3rd year,1000-3000,Yes,1-2 years,Not planning to buy anything,No need,Skill development,<₹1000,No preference,5,Never,Manufacturer website (Apple/HP etc.),>6,Sometimes,Yes
19-20,Female,3rd year,1000-3000,Yes,1-2 years,Laptop,Not urgent,Academic use,>₹30000,Apple,5,Sometimes,Amazon,4-6,Always,No
19-20,Male,3rd year,3000-5000,Yes,2-3 years,Smartphone,Not urgent,Personal entertainment,>₹30000,Apple,3,Sometimes,"Amazon, Flipkart, Myntra , Ajio  and more",>6,Sometimes,Yes
19-20,Male,3rd year,1000-3000,Yes,1-2 years,Not planning to buy anything,No need,Gaming,₹1000-3000,No preference,3,Very frequently,"Amazon, Flipkart",4-6,Always,No
21-22,Female,3rd year,3000-5000,Yes,2-3 years,Laptop,Not urgent,Academic use,>₹30000,HP / Dell / Lenovo,3,Sometimes,"Amazon, Flipkart",>6,Always,No
